,256x256x256
0,0.7997
1,0.7372
2,0.8061
3,0.8061
4,0.7965
5,0.7788
6,0.7756
7,0.7644
8,0.7981
9,0.8077
10,0.7532
11,0.7324
12,0.6875
13,0.6891
14,0.7901
15,0.7853
16,0.7131
17,0.7949
18,0.7067
19,0.7564
20,0.7516
21,0.7837
22,0.7612
23,0.7532
24,0.75
25,0.7708
26,0.7003
27,0.7067
28,0.8446
29,0.7436
30,0.7981
31,0.7196
32,0.7292
33,0.7356
34,0.7756
35,0.7724
36,0.7179
37,0.6715
38,0.7372
39,0.7917
40,0.7516
41,0.7436
42,0.766
43,0.8013
44,0.7708
45,0.8013
46,0.7099
47,0.7596
48,0.7644
49,0.7115
50,0.6987
